source,target
Aosta,Stagione_1968-1969
Aosta,Integrazione_recite
Teatro_Universitario,Verbale_n.223
Teatro_Universitario,Appunto
Teatro_Universitario,Venezia
Teatro_Universitario,Roma
Teatro_Universitario,Parma
Teatro_Universitario,Palermo
Teatro_Universitario,Milano
Teatro_Universitario,L'Aquila
Teatro_Universitario,Genova
Teatro_Universitario,Bologna
Teatro_Universitario,Bari
Teatro_Universitario,Premio_finale
Stagione_1968-1969,Teatro_Universitario
Teatro_Stabile,Verbale_n.222
Teatro_Stabile,Appunto
Teatro_Stabile,Trieste
Teatro_Stabile,Torino
Teatro_Stabile,Roma
Teatro_Stabile,Milano
Teatro_Stabile,L'Aquila
Teatro_Stabile,Genova
Teatro_Stabile,Catania
Teatro_Stabile,Bolzano
Teatro_Stabile,Premio_finale
Teatro_Stabile,Integrazioni
Stagione_1968-1969,Teatro_Stabile
Teatro_ragazzi,Appunto
Teatro_ragazzi,Roma
Teatro_ragazzi,Palermo
Teatro_ragazzi,Milano
Teatro_ragazzi,Premio_finale
Teatro_ragazzi,Integrazioni
Stagione_1968-1969,Teatro_ragazzi
Teatro,Verbale_n.222
Teatro,Verona
Teatro,Venezia
Teatro,Torino
Teatro,Roma
Teatro,Palermo
Teatro,Napoli
Teatro,Milano
Teatro,Bari
Teatro,Premio_finale
Stagione_1968-1969,Teatro
Sperimentazione_teatrale,Verbale_n.222
Sperimentazione_teatrale,Napoli
Sperimentazione_teatrale,Premio_finale
Stagione_1968-1969,Sperimentazione_teatrale
Manifestazione_Straordinaria,Verbale_n.222
Manifestazione_Straordinaria,Stagione_1968-1969
Manifestazione_Straordinaria,Roma
Manifestazione_Straordinaria,Premio_finale
Manifestazione_Straordinaria,Integrazioni
17_luglio_1969,Manifestazione_Straordinaria
Importo_20000000_5,Manifestazione_Straordinaria
Roma,Manifestazione_Straordinaria
Teatro_Stabile,Manifestazione_Straordinaria
Ente_Statale,Verbale_n.223
Ente_Statale,Integrazioni
Ente_Statale,Contributo_integrativo
Stagione_1968-1969,Ente_Statale
Compagnia_teatro_minore,Verbale_n.222
Compagnia_teatro_minore,Integrazione_recite
Compagnia_teatro_minore,Contributo_straordinario_
